,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14
librari,0.00208209301852925,1.740497103377696E-7,2.9031916237115274E-7,6.523208257621892E-4,5.065200855084882E-4,6.4412938290924E-4,2.309386236196457E-4,1.219915702728114E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,3.008803117366628E-4,2.8645099672560954E-4,2.06932872010984E-7,4.930596230829453E-4,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,7.002661431293602E-4,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.458695801557377E-5,4.704318110370379E-4
smartphon,9.914256552208227E-8,1.7422376004810734E-4,2.9031916237115274E-7,1.6303944657890254E-7,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,2.465396342653123E-4,7.655240567991682E-4,6.288802544984341E-4,1.5036497338164059E-7,8.592098004758909E-4,2.0713980488299498E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,6.3996539759178E-4,5.21473811939678E-4,1.2255675450105002E-7,6.411360655461876E-4,0.0010760973329499662,1.9890661036283552E-7,1.0002513118930479E-4,6.458695801557377E-5,1.0458105253695288E-4
swipe,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,9.783997189199943E-4,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,4.8760067198952894E-4,1.6438714034151613E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,4.296406976631799E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6833473892560058E-4,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,3.840304255494764E-4,0.0010428172880103382,2.4523606575660103E-4,0.0017628437533300696,1.1955308665147944E-7,1.9890661036283552E-7,7.995015730725551E-4,6.452243557999378E-8,4.181674169655972E-4
wow,9.924170808760433E-5,1.740497103377696E-7,2.9031916237115274E-7,3.26241932604384E-4,2.53133476016236E-7,9.661135783150085E-4,2.3070791570394178E-7,1.2186970057223917E-7,8.223464641771996E-5,1.913331809045659E-7,8.982720389921927E-8,6.01610258499944E-4,8.592098004758909E-4,6.21005548904963E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.18842103083786E-4,3.499580925184209E-7,0.0011891864579571614,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,3.9980074913926924E-4,4.5172157149553653E-4,2.6137423475127504E-4
focus,9.914256552208227E-8,1.740497103377696E-7,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,4.8760067198952894E-4,5.75149609960497E-4,1.913331809045659E-7,8.085346622968725E-4,1.5036497338164059E-7,2.8645099672560954E-4,6.21005548904963E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,5.947418401330367E-4,1.2796748602115175E-7,6.518096809573431E-4,1.2267931125555106E-4,8.013800209438851E-4,2.3922572638961033E-4,1.9890661036283552E-7,3.9980074913926924E-4,6.452243557999378E-8,5.749605991799193E-4
output,9.914256552208227E-8,1.7422376004810734E-4,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,9.750794742784855E-4,5.75149609960497E-4,1.9152451408547045E-4,8.982720389921927E-8,1.5036497338164059E-7,2.148561462568243E-4,2.0713980488299498E-4,0.0011502533892714761,2.593610287382902E-4,9.183373056022477E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,5.947418401330367E-4,1.2796748602115175E-7,3.911379429220129E-4,6.129063292597512E-4,1.6024395539769746E-7,3.587788130410898E-4,1.9890661036283552E-7,1.0002513118930479E-4,6.452243557999378E-8,3.136386288227158E-4
expans,9.914256552208227E-8,3.482734703858769E-4,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,0.0019717420066650317,1.913331809045659E-7,8.991703110311847E-5,1.5036497338164059E-7,1.4326129578803913E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,8.919641490450989E-4,1.280954535071729E-4,1.3046620488668274E-4,0.001715917119769201,1.6040419935309515E-4,3.587788130410898E-4,1.9890661036283552E-7,2.9987554315594775E-4,6.452243557999378E-8,5.226439407144072E-8
chip,9.914256552208227E-8,1.7422376004810734E-4,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,0.0010680645735032738,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,2.8645099672560954E-4,2.06932872010984E-7,1.6429844154713272E-7,7.775648823612477E-4,9.183373056022477E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.503080506109393E-4,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,0.0018384738742702512,4.8089211014849006E-4,3.587788130410898E-4,1.9890661036283552E-7,3.9980074913926924E-4,1.9363182917556135E-4,1.0458105253695288E-4
2gb,9.914256552208227E-8,1.7422376004810734E-4,2.9031916237115274E-7,4.892813791832865E-4,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,0.0018074370188174394,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6446273998867983E-4,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.503080506109393E-4,2.9722230891206233E-7,1.280954535071729E-4,1.3046620488668274E-4,0.0018384738742702512,1.6024395539769746E-7,2.3922572638961033E-4,1.9890661036283552E-7,9.992520598332148E-8,6.458695801557377E-5,5.226439407144072E-8
apart,9.914256552208227E-8,1.740497103377696E-7,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6115308980058714E-4,2.3070791570394178E-7,1.219915702728114E-4,1.6438714034151613E-4,1.913331809045659E-7,1.7974423500233773E-4,0.001654165072171428,2.148561462568243E-4,2.06932872010984E-7,4.930596230829453E-4,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,6.373656825880678E-4,3.503080506109393E-4,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,4.903495747587011E-4,1.6024395539769746E-7,1.1955308665147944E-7,7.958253480617049E-4,9.99351985039198E-4,6.452243557999378E-8,4.181674169655972E-4
sens,2.9752683913176884E-4,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,6.094703725617681E-4,2.465396342653123E-4,1.913331809045659E-7,8.982720389921927E-8,4.512452851183034E-4,7.159485046878518E-8,2.06932872010984E-7,3.2876118153581254E-4,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,5.947418401330367E-4,5.119979115706282E-4,3.911379429220129E-4,3.6779282025765106E-4,1.6024395539769746E-7,0.0010760973329499662,7.958253480617049E-4,9.992520598332148E-8,5.80766442655524E-4,5.226439407144072E-8
capac,1.983842736096866E-4,3.482734703858769E-4,8.712478062758293E-4,3.26241932604384E-4,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,7.394545978080892E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,1.4326129578803913E-4,2.06932872010984E-7,1.6429844154713272E-7,2.593610287382902E-4,8.035594896289635E-4,5.046678836320953E-4,3.1852357950428174E-7,3.499580925184209E-7,2.975195312209743E-4,1.2796748602115175E-7,1.3046620488668274E-4,0.001470803610767101,6.411360655461876E-4,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.458695801557377E-5,5.226439407144072E-8
pack,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,6.523208257621892E-4,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,4.8760067198952894E-4,4.1084462211290465E-4,1.913331809045659E-7,4.492258466999956E-4,1.5036497338164059E-7,3.580458471943947E-4,4.14072676893979E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,6.728344559853427E-4,3.1852357950428174E-7,3.503080506109393E-4,2.9722230891206233E-7,1.2796748602115175E-7,2.608020739043478E-4,2.4523606575660103E-4,4.8089211014849006E-4,1.1955308665147944E-7,1.9890661036283552E-7,4.997259551225907E-4,6.452888782355178E-4,1.568454466083936E-4
doubl,9.924170808760433E-5,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.219915702728114E-4,7.394545978080892E-4,3.8285769499003634E-4,1.7974423500233773E-4,3.008803117366628E-4,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,3.365013112788479E-4,3.1852357950428174E-7,7.002661431293602E-4,2.9722230891206233E-7,6.3996539759178E-4,1.3033586901766507E-7,9.80576592762901E-4,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,3.9980074913926924E-4,6.452243557999378E-8,5.226962051084786E-4
snappi,2.9752683913176884E-4,3.482734703858769E-4,2.906094815335238E-4,4.892813791832865E-4,2.53133476016236E-7,1.6099209770288427E-7,2.309386236196457E-4,7.313400731340073E-4,8.216070917318853E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.160200995383206E-4,2.06932872010984E-7,6.57358064630078E-4,2.591019268114787E-7,2.296704097625419E-4,1.6833473892560058E-4,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3046620488668274E-4,1.2255675450105002E-7,4.8089211014849006E-4,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.458695801557377E-5,1.0458105253695288E-4
angri,0.00208209301852925,1.740497103377696E-7,0.0023228436181315926,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,4.616465393235875E-4,2.4386127084505057E-4,8.215249392379616E-8,1.9152451408547045E-4,8.982720389921927E-8,3.008803117366628E-4,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.593610287382902E-4,1.1477781597328431E-7,0.001850000462458074,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,3.840304255494764E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6040419935309515E-4,1.1955308665147944E-7,1.991055169731983E-4,9.992520598332148E-8,6.458695801557377E-5,1.0458105253695288E-4
consum,2.9752683913176884E-4,1.7422376004810734E-4,2.906094815335238E-4,1.6303944657890254E-7,0.0012659205135571961,1.6115308980058714E-4,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,5.741908758946022E-4,0.0014373250895914076,1.5051533835502221E-4,1.4326129578803913E-4,2.0713980488299498E-4,4.930596230829453E-4,2.591019268114787E-7,2.296704097625419E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.503080506109393E-4,2.9722230891206233E-7,1.2796748602115175E-7,2.608020739043478E-4,1.2255675450105002E-7,4.8089211014849006E-4,7.174380729955281E-4,1.9890661036283552E-7,1.9995033717262625E-4,3.226767003355489E-4,2.6137423475127504E-4
convert,9.914256552208227E-8,1.740497103377696E-7,2.906094815335238E-4,1.6303944657890254E-7,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,3.286921281891085E-4,0.003635521770367657,8.982720389921927E-8,3.008803117366628E-4,2.148561462568243E-4,2.06932872010984E-7,9.859549477243435E-4,2.591019268114787E-7,4.5922604170911053E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.975195312209743E-4,1.280954535071729E-4,1.3033586901766507E-7,6.129063292597512E-4,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,2.581542647555552E-4,8.36282569537123E-4
morn,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6320248602548143E-4,7.596535615247242E-4,1.6099209770288427E-7,4.616465393235875E-4,1.2186970057223917E-7,8.223464641771996E-5,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.166644531925395E-5,2.0713980488299498E-4,1.6446273998867983E-4,5.184629555497689E-4,0.0012626707535221006,1.6816657235324734E-7,3.18842103083786E-4,3.503080506109393E-4,8.919641490450989E-4,5.119979115706282E-4,2.608020739043478E-4,1.2255675450105002E-7,3.206481547507926E-4,1.196726397381309E-4,1.9890661036283552E-7,2.9987554315594775E-4,5.80766442655524E-4,2.0910984067983433E-4
buggi,9.914256552208227E-8,6.963728910614162E-4,5.809286439046765E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.309386236196457E-4,1.2186970057223917E-7,8.223464641771996E-5,7.655240567991682E-4,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,8.279384209159471E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1489259378925757E-4,8.4100102833859E-4,9.558892620923495E-4,3.499580925184209E-7,2.9722230891206233E-7,7.679328836129317E-4,1.3033586901766507E-7,3.6779282025765106E-4,0.00112186793173928,1.1955308665147944E-7,1.9890661036283552E-7,1.0002513118930479E-4,6.452243557999378E-8,6.794893873228008E-4
desir,9.914256552208227E-8,1.740497103377696E-7,5.809286439046765E-4,0.0011414391654988967,2.5338660949225216E-4,1.6099209770288427E-7,4.616465393235875E-4,2.4386127084505057E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,3.2876118153581254E-4,2.591019268114787E-7,6.887816736556792E-4,3.365013112788479E-4,3.18842103083786E-4,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,3.911379429220129E-4,1.2255675450105002E-7,1.6024395539769746E-7,2.3922572638961033E-4,7.958253480617049E-4,6.995763670892337E-4,2.581542647555552E-4,3.659030228941565E-4
awar,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,7.596535615247242E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,5.012355481319651E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,9.183373056022477E-4,1.6816657235324734E-7,3.18842103083786E-4,3.503080506109393E-4,5.947418401330367E-4,2.5606293952832465E-4,1.3033586901766507E-7,3.6779282025765106E-4,1.6024395539769746E-7,5.978849863440487E-4,0.0015914517895130468,2.9987554315594775E-4,3.226767003355489E-4,7.317537813942415E-4
adequ,9.914256552208227E-8,3.482734703858769E-4,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,6.923544550275293E-4,9.750794742784855E-4,9.859120795794778E-4,1.913331809045659E-7,1.7974423500233773E-4,1.5036497338164059E-7,4.296406976631799E-4,2.06932872010984E-7,8.216565061772108E-4,2.593610287382902E-4,2.296704097625419E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,5.119979115706282E-4,6.518096809573431E-4,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.991055169731983E-4,9.992520598332148E-8,1.9363182917556135E-4,1.0458105253695288E-4
assum,9.914256552208227E-8,1.7422376004810734E-4,2.9031916237115274E-7,1.6303944657890254E-7,5.065200855084882E-4,1.6099209770288427E-7,2.309386236196457E-4,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.593610287382902E-4,4.5922604170911053E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,8.919641490450989E-4,3.840304255494764E-4,1.3033586901766507E-7,7.354630837608011E-4,4.8089211014849006E-4,1.1955308665147944E-7,1.9890661036283552E-7,0.0012991276029891625,5.162440070755303E-4,5.226962051084786E-4
dark,5.949545356980158E-4,1.740497103377696E-7,8.712478062758293E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,8.532097737062465E-4,8.215249392379616E-8,1.913331809045659E-7,1.7974423500233773E-4,1.5036497338164059E-7,7.166644531925395E-5,2.06932872010984E-7,1.6429844154713272E-7,2.593610287382902E-4,1.1489259378925757E-4,3.365013112788479E-4,3.18842103083786E-4,0.0014001823281662021,2.9722230891206233E-7,1.2796748602115175E-7,0.0027371835852399843,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,2.9987554315594775E-4,6.458695801557377E-5,5.2316658465512156E-5
outstand,2.9752683913176884E-4,1.740497103377696E-7,2.9031916237115274E-7,3.26241932604384E-4,2.53133476016236E-7,1.6099209770288427E-7,0.0025380177806590635,1.2186970057223917E-7,4.929971160367008E-4,1.913331809045659E-7,8.982720389921927E-8,1.5051533835502221E-4,7.876149500071057E-4,2.06932872010984E-7,4.930596230829453E-4,2.593610287382902E-4,1.1477781597328431E-7,6.728344559853427E-4,0.0015929364211009131,3.499580925184209E-7,2.975195312209743E-4,1.280954535071729E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6040419935309515E-4,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,2.6137423475127504E-4
fill,4.958119701759335E-4,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,0.0010127870375409602,1.6115308980058714E-4,2.309386236196457E-4,2.4386127084505057E-4,4.929971160367008E-4,1.9152451408547045E-4,2.69571438901557E-4,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,0.0011891864579571614,1.280954535071729E-4,2.608020739043478E-4,0.0013482468562660511,9.616239763415826E-4,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,3.136386288227158E-4
invest,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.219915702728114E-4,8.215249392379616E-8,1.913331809045659E-7,8.085346622968725E-4,0.0010527051786448657,3.580458471943947E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,3.840304255494764E-4,1.3046620488668274E-4,3.6779282025765106E-4,1.6024395539769746E-7,0.0019129689395103225,9.947319584245405E-4,1.9995033717262625E-4,1.9363182917556135E-4,5.226439407144072E-8
flimsi,9.914256552208227E-8,3.482734703858769E-4,2.906094815335238E-4,1.6303944657890254E-7,5.065200855084882E-4,1.6099209770288427E-7,2.309386236196457E-4,4.8760067198952894E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5051533835502221E-4,4.296406976631799E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,0.002180893281308375,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.280954535071729E-4,3.911379429220129E-4,1.2255675450105002E-7,1.6024395539769746E-7,2.3922572638961033E-4,1.9890661036283552E-7,0.001598903220939127,6.452243557999378E-8,5.226439407144072E-8
solut,1.983842736096866E-4,6.963728910614162E-4,2.906094815335238E-4,8.153602723410916E-4,2.53133476016236E-7,1.6115308980058714E-4,4.616465393235875E-4,1.2186970057223917E-7,8.215249392379616E-8,1.9152451408547045E-4,8.983618661960918E-4,1.5036497338164059E-7,7.166644531925395E-5,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,4.5922604170911053E-4,1.6833473892560058E-4,3.18842103083786E-4,3.499580925184209E-7,2.9722230891206233E-7,0.0012798028276975386,1.3046620488668274E-4,1.2267931125555106E-4,1.6024395539769746E-7,9.565442462984868E-4,9.947319584245405E-4,5.996511611059122E-4,6.452243557999378E-8,3.659030228941565E-4
clean,9.924170808760433E-5,1.740497103377696E-7,5.809286439046765E-4,3.26241932604384E-4,2.53133476016236E-7,1.6115308980058714E-4,2.3070791570394178E-7,7.313400731340073E-4,4.1084462211290465E-4,3.8285769499003634E-4,8.991703110311847E-5,3.008803117366628E-4,5.012355481319651E-4,4.14072676893979E-4,6.57358064630078E-4,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.18842103083786E-4,3.499580925184209E-7,2.975195312209743E-4,5.119979115706282E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,3.587788130410898E-4,1.9890661036283552E-7,4.997259551225907E-4,2.581542647555552E-4,5.226439407144072E-8
